"Title","Author","Publisher","Published Date","Format","Pages","Series","Volume","Language","ISBN","Page Read","Item Url","Icon Path","Photo Path","Image Url","Summary","Location","Price","Genres","Rating","Added Date","Copy Index","Read","Started Reading Date","Finished Reading Date","Favorite","Comments","Tags","BookShelf","Settings"
"I Want to Love You Till Your Dying Day 2","Aono, Nachi","Kodansha Comics","2025-04-14","Paperback","176","きみが死ぬまで恋をしたい","","English","9798888773819","","https://www.amazon.com/dp/B0D9GNT9XN?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51M4ox3fTjL._SL500_.jpg","Undeterred by war and violence, Sheena is determined to protect Mimi, an immortal girl deployed into battle. As the two become closer, Mimi puts national security at risk when she discloses her status as a classified military weapon. This lapse in judgment angers the authorities, including those who run the magical orphanage. Mimi throws herself into even more deadly clashes and survives fatal wounds—thanks to a dark magic connected to love. Can Sheena harness that power to rescue Mimi and help bring about peace?","","12.87","Fantasy","4.01","06/25/2025","","","","","","","","I Want To Love You Till Your Dying Day"
"I Want You to Make Me Beautiful! - The Complete Manga Collection","Cocoa","Steamship","2024-04-16","Paperback","292","","","English","9798888436233","","https://www.amazon.com/dp/B0CBYS8QTQ?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51PHWPFkczL._SL500_.jpg","A josei romance tale of fake dating and finding beauty in unexpected places! Part of Seven Seas' imprint dedicated to sexy romance for Steamship!

Office lady Nishimura Kanna has had it with her boyfriend after discovering his cheating ways. When she breaks up with him, he insults her looks, bruising her self-confidence on top of breaking her heart. Then she runs into an old classmate, the androgynous Ichikawa Yuzuki, a man whose gorgeous appearance is a sharp difference from the boyish classmate Kanna remembers from their school days. Not only does she ask Yuzuki to help her become just as pretty, but she ends up pretending to be Yuzuki's girlfriend, too! As things get hot and heavy between them, can a beautiful romance blossom from this ""fake"" relationship?","","18.29","Manga & Hentai","3.59","07/18/2025","","","","","","","","One Shots"
"I’ll Become a Villainess Who Goes Down in History, Vol. 1: It Seems Turning Into a High-Born Baddie Makes the Prince All the More Lovestruck (Volume ... a Villainess Who Goes Down in History, 1)","Hoshi, Akari; Okido, Izumi; Hayase, Jyun","Yen Press","2024-10-15","Paperback","178","I'll Become a Villainess That Will Go Down in History (Manga)","1","English","9781975397265","","https://www.amazon.com/dp/1975397266?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51nsU36SIiL._SL500_.jpg","Together, Rei and Claire have endured love, loss, and ridicule. Now, they face a challenge that will shake the foundations of the kingdom--revolution. When the dust settles, will commoner Rei and noble-born Claire still stand side by side? And will fate permit their love to survive?","","7.5","Fantasy","4.09","07/18/2025","","","","","","","","I'll Become a Villianess Who Goes Down in History"
"I’ll Become a Villainess Who Goes Down in History, Vol. 2 (Volume 2) (I’ll Become a Villainess Who Goes Down in History, 2)","Hoshi, Akari; Okido, Izumi; Hayase, Jyun; Moon, Sarah; Blakeslee, Katie","Yen Press","2025-03-25","Paperback","146","I'll Become a Villainess That Will Go Down in History (Manga)","2","English","9781975397289","","https://www.amazon.com/dp/1975397282?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/517iq8g3tGL._SL500_.jpg","While magic is normally impossible for those under 13, Alicia is a divergent. Training every day to become the world’s greatest villainess, Alicia’s talent for magic despite her young age earned her special admittance to the Magic Academy. But this enrollment comes with a price— one that might be hard to accept for someone looking to go down in history as a great villainess...","","11.18","Fantasy","4.02","07/18/2025","","","","","","","","I'll Become a Villianess Who Goes Down in History"
"I'm in Love with the Villainess (Manga) Vol. 1",", Aonoshimo; , Inori; , Hanagata","Seven Seas","2021-07-27","Paperback","180","I'm in Love with the Villainess Manga","1","English","9781648278006","","https://www.amazon.com/dp/1648278000?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51Q4JV9Ny-L._SL500_.jpg","When corporate worker Oohashi Rei finds herself reborn as the protagonist of her favorite dating sim, it's the perfect opportunity to do what she's always wanted -- seduce the villainess! In her previous life, Rei had no interest in the princes the game had to offer. She only had eyes for Claire François, her nemesis. Now, armed with her extensive knowledge of the game, and her undying love for Claire, will Rei finally be able to win over the woman of her dreams?","","6.49","Fantasy","3.86","07/18/2025","","","","","","","","Im in Love With the Villianess"
"If It's for My Daughter, I'd Even Defeat a Demon Lord: Volume 1 (Light Novel) (Volume 1) (If It's for My Daughter, I'd Even Defeat a Demon Lord, 1)",", CHIROLU; Warner, Matthew; , Truffle","JNC","2019-04-02","Paperback","172","うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。/  If It's for My Daughter, I'd Even Defeat a Demon Lord (Novels)","","English","9781718353008","","https://www.amazon.com/dp/1718353006?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51qH7xdyA6L._SL500_.jpg","Dale is a cool, composed, and highly skilled adventurer who’s made quite a name for himself despite his youth. One day on a job deep in the forest, he comes across a little devil girl who’s almost wasted away. Unable to just leave her there to die, Dale takes her home and becomes her adoptive father.
Devil or not, Latina is beyond adorable, and the adventurer soon finds himself head over heels with being a parent. But why was she out in the forest to begin with, and why does she carry the mark of a criminal?","","7.41","Genre Fiction","4.11","06/26/2025","","","","","","","","If It's For My Daughter"
"If It's for My Daughter, I'd Even Defeat a Demon Lord: Volume 2 (Light Novel) (Volume 2) (If It's for My Daughter, I'd Even Defeat a Demon Lord, 2)",", CHIROLU; , KEI; Warner, Matthew","JNC","2019-04-02","Paperback","220","うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。/  If It's for My Daughter, I'd Even Defeat a Demon Lord (Novels)","","English","9781718353015","","https://www.amazon.com/dp/1718353014?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51PX1HYUFbL._SL500_.jpg","“Dale, Dale! It’s the ocean! Can we go?!” 
""Calm down, Latina."" 
It's been two years since the adorable child Latina was saved by first-rate adventurer Dale, and things are going well. 
Dale decides to return to his home village, Tisrow, and brings Latina along on his journey. Normally mature for her age, the devil girl is surprisingly worked up about her first trip, and the two set out full of excitement. 

What kind of things will Latina get to see, and can she possibly get ANY cuter? She better not, or Dale's heart won't be able to take it! 

It's time for If It's for My Daughter Volume 2!","","6.63","Genre Fiction","4.14","06/26/2025","","","","","","","","If It's For My Daughter"
"If It's for My Daughter, I'd Even Defeat a Demon Lord: Volume 3 (Light Novel) (Volume 3) (If It's for My Daughter, I'd Even Defeat a Demon Lord, 3)",", CHIROLU; , KEI; Warner, Matthew","JNC","2019-06-04","Paperback","212","うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。/  If It's for My Daughter, I'd Even Defeat a Demon Lord (Novels)","","English","9781718353022","","https://www.amazon.com/dp/1718353022?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/61jycMgGN4L._SL500_.jpg","If It's For My Daughter, I'd Even Defeat a Demon Lord Novel Volume 3 features story by CHIROLU and art by Kei. The skilled young adventurer, Dale, at last returns to his base of operations in the town of Kreuz after the long journey he took with his adopted daughter, the devil girl Latina. He feels a brief moment of relief when as he watches Latina greet Kenneth and Rita with a smile and start handing out souvenirs... but wait, what's Helmine doing here?","","54.99","Genre Fiction","4.18","06/26/2025","","","","","","","","If It's For My Daughter"
"If It's for My Daughter, I'd Even Defeat a Demon Lord: Volume 4 (Light Novel) (Volume 4) (If It's for My Daughter, I'd Even Defeat a Demon Lord, 4)",", CHIROLU; , KEI; Warner, Matthew","JNC","2019-08-06","Paperback","196","うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。/  If It's for My Daughter, I'd Even Defeat a Demon Lord (Novels)","","English","9781718353039","","https://www.amazon.com/dp/1718353030?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51JoeTQfL3L._SL500_.jpg","“I’ve never thought of you as a replacement for my father.”

After Latina tells him about her real feelings on the night of the Ahmar festival, Dale is driven into a deep depression by his beloved daughter's ""rebellious phase."" It takes a talk with his ""big bro"" Kenneth for him to see what her words really mean... but how will he respond? 

To make matters even more complicated, Latina receives a confession of love from Rudolph, her childhood friend. Love is hard, but this is getting out of hand!

Whatever happens, though, one thing is sure: the relationship between guardian and adoptive daughter is going to change in a big way, and there's no turning back.","","21.44","Genre Fiction","4.13","06/26/2025","","","","","","","","If It's For My Daughter"
"If It's for My Daughter, I'd Even Defeat a Demon Lord: Volume 5 (Light Novel) (Volume 5) (If It's for My Daughter, I'd Even Defeat a Demon Lord, 5)",", CHIROLU; , KEI; Warner, Matthew","JNC","2019-10-01","Paperback","244","うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。/  If It's for My Daughter, I'd Even Defeat a Demon Lord (Novels)","","English","9781718353046","","https://www.amazon.com/dp/1718353049?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51QfwPpU6BL._SL500_.jpg","Everything seems to be finally coming together for Latina and Dale. They live in a place where they feel like they belong, they're surrounded by people they love, and Dale has finally asked for Latina's hand in marriage. Before long, though, the devil girl realizes what being the Eighth Demon Lord means: the other demon lords will stop at nothing to destroy her, and that will put everything she holds dear in peril as well. And to prevent that, Latina decides she must sacrifice herself. However, as a first-rate hero and Latina's retainer, Dale won't let that happen, and he sets out to do what he must: eliminate the seven demon lords.","","15.19","Genre Fiction","4.19","06/26/2025","","","","","","","","If It's For My Daughter"
"If It's for My Daughter, I'd Even Defeat a Demon Lord: Volume 6 (Light Novel) (Volume 6) (If It's for My Daughter, I'd Even Defeat a Demon Lord, 6)",", CHIROLU; , KEI; Warner, Matthew","JNC","2019-12-03","Paperback","236","うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。/  If It's for My Daughter, I'd Even Defeat a Demon Lord (Novels)","","English","9781718353053","","https://www.amazon.com/dp/1718353057?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51weTwK+mbL._SL500_.jpg","Having survived a fierce life and death struggle with the demon lords, Dale has at last reunited with Latina. After safely (?) settling things with the First Demon Lord, Chrysos, the pair return to Kenneth and the others back in Kreuz, but...
A prequel centered on Latina’s parents is also included in full with this 6th entry of the popular series!","","9.0","Genre Fiction","3.93","06/26/2025","","","","","","","","If It's For My Daughter"
"If It's for My Daughter, I'd Even Defeat a Demon Lord: Volume 7 (Light Novel) (Volume 7) (If It's for My Daughter, I'd Even Defeat a Demon Lord, 7)",", CHIROLU; , KEI; Warner, Matthew","JNC","2020-02-04","Paperback","196","うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。/  If It's for My Daughter, I'd Even Defeat a Demon Lord (Novels)","","English","9781718353060","","https://www.amazon.com/dp/1718353065?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51bc2Av9WxL._SL500_.jpg","At last, Dale and Latina have returned from the country of devils to the familiar town of Kreuz and their peaceful everyday lives there. After their return, what brought Latina the greatest joy was... the delicious foods she could eat there! With this, the deplorable culinary state of the country of devils comes to light! Wishing for something that’s just the least bit tasty to eat, Latina strives in secret to succeed at preparing a certain recipe! Also enjoy the chaos caused by the furballs brought in by the soaring wolf, Vint, and an absolutely adorable episode from Latina’s childhood! Revel in their fun-filled days in Kreuz in this 7th entry of the popular series!","","7.49","Genre Fiction","3.99","06/26/2025","","","","","","","","If It's For My Daughter"
"If It's for My Daughter, I'd Even Defeat a Demon Lord: Volume 8 (Light Novel) (Volume 8) (If It's for My Daughter, I'd Even Defeat a Demon Lord, 8)",", CHIROLU; , KEI; Warner, Matthew","JNC","2020-04-07","Paperback","188","うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。/  If It's for My Daughter, I'd Even Defeat a Demon Lord (Novels)","","English","9781718353077","","https://www.amazon.com/dp/1718353073?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51em6wNhw8L._SL500_.jpg","The Demon Lords of Calamity have been defeated and Latina’s past has been revealed, so what’s left for our heroes but a wedding? Well, a whole awful lot, it turns out. To start with, Chrysos is still in the middle of her visit, and she ends up roping in Latina! She may have been able to withstand the great dangers she’s faced thus far, but will she be able to hold up in the face of high society?! 
Once that’s all out of the way, though, it’s time for the wedding... though not the one that Latina expected! Just who’s getting married, and how will our heroes react? But in the aftermath, Latina’s big day finally arrives. Will it be everything she ever hoped for? And just how will they be able to involve all the various important people in their lives? 
Find out all this and more in the climactic eighth volume of If It’s For My Daughter, I'd Even Defeat a Demon Lord! 
","","14.0","Genre Fiction","4.14","06/26/2025","","","","","","","","If It's For My Daughter"
"If It's for My Daughter, I'd Even Defeat a Demon Lord: Volume 9 (Light Novel) (Volume 9) (If It's for My Daughter, I'd Even Defeat a Demon Lord, 9)",", CHIROLU; , KEI; Warner, Matthew","JNC","2020-07-07","Paperback","180","うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。/  If It's for My Daughter, I'd Even Defeat a Demon Lord (Novels)","","English","9781718353084","","https://www.amazon.com/dp/1718353081?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/510PnO4DzAL._SL500_.jpg","The Demon Lords of Calamity have been defeated and Latinaâ€™s past has been revealed, so whatâ€™s left for our heroes but a wedding? Well, a whole awful lot, it turns out. To start with, Chrysos is still in the middle of her visit, and she ends up roping in Latina! She may have been able to withstand the great dangers sheâ€™s faced thus far, but will she be able to hold up in the face of high society?! Once thatâ€™s all out of the way, though, itâ€™s time for the wedding... though not the one that Latina expected! Just whoâ€™s getting married, and how will our heroes react? But in the aftermath, Latinaâ€™s big day finally arrives. Will it be everything she ever hoped for? And just how will they be able to involve all the various important people in their lives? Find out all this and more in the climactic eighth volume of If Itâ€™s For My Daughter, I'd Even Defeat a Demon Lord!","","9.52","Genre Fiction","4.14","06/26/2025","","","","","","","","If It's For My Daughter"
"Jujutsu Kaisen 0","Akutami, Gege","VIZ Media LLC","2021-01-05","Paperback","200","呪術廻戦 [Jujutsu Kaisen]","","English","9781974720149","","https://www.amazon.com/dp/1974720144?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51DWx3EguNL._SL500_.jpg","自身の死刑を望む高校生・乙骨憂太（おっこつゆうた）。彼は己に憑く怨霊・里香に苦しんでいた。そんな中、｢呪い｣を祓う為学ぶ学校｢都立呪術高専｣の教師・五条悟が、乙骨を高専へ転入させ…!?　『呪術廻戦』へと繋がる前日譚、開幕！","","6.09","Fantasy","4.51","07/18/2025","","","","","","","","Jujutsu Kaisen"
"Jujutsu Kaisen, Vol. 1 (1)","Akutami, Gege","VIZ Media LLC","2019-12-03","Paperback","192","呪術廻戦 [Jujutsu Kaisen]","1","English","9781974710027","","https://www.amazon.com/dp/1974710025?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51CcaF9O78L._SL500_.jpg","Yuji Itadori is resolved to save the world from cursed demons, but he soon learns that the best way to do it is to slowly lose his humanity and become one himself!

In a world where demons feed on unsuspecting humans, fragments of the legendary and feared demon Ryoma Sukuna were lost and scattered about. Should any demon consume Sukuna’s body parts, the power they gain could destroy the world as we know it. Fortunately, there exists a mysterious school of Jujutsu Sorcerers who exist to protect the precarious existence of the living from the undead!

Yuji Itadori is high schooler who spends his days visiting his bedridden grandfather. Although he looks like your average teenager, his immense physical strength is something to behold! Every sports club wants him to join, but Itadori would rather hang out with the school outcasts in the Occult Club. One day, the club manages to get their hands on a sealed cursed object, but little do they know the terror they’ll unleash when they break the seal... ","","7.58","Fantasy","4.50","07/18/2025","","","","","","","","Jujutsu Kaisen"
"Jujutsu Kaisen, Vol. 2 (2)","Akutami, Gege","VIZ Media LLC","2020-02-04","Paperback","192","呪術廻戦 [Jujutsu Kaisen]","2","English","9781974710034","","https://www.amazon.com/dp/1974710033?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51ICwNeoq7L._SL500_.jpg","少年院内に、突如呪胎が発生。取り残された人間を救助する為、虎杖ら高専1年が派遣された! だが特級呪霊へ変態した呪胎に襲撃を受け、ピンチに陥る一行。虎杖は宿儺と入れ替わり、呪霊を倒そうと試みるが……!?","","9.86","Fantasy","4.47","07/18/2025","","","","","","","","Jujutsu Kaisen"
"Jujutsu Kaisen, Vol. 3 (3)","Akutami, Gege","VIZ Media LLC","2020-04-07","Paperback","192","呪術廻戦 [Jujutsu Kaisen]","3","English","9781974710041","","https://www.amazon.com/dp/1974710041?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/517VNR+6W7L._SL500_.jpg","Yuji Itadori is resolved to save the world from cursed demons, but he soon learns that the best way to do it is to slowly lose his humanity and become one himself!

In a world where cursed spirits feed on unsuspecting humans, fragments of the legendary and feared demon Ryomen Sukuna were lost and scattered about. Should any demon consume Sukuna’s body parts, the power they gain could destroy the world as we know it. Fortunately, there exists a mysterious school of Jujutsu Sorcerers who exist to protect the precarious existence of the living from the supernatural!

Tensions are high as the Goodwill Event between the Tokyo and Kyoto campuses of Jujutsu High approaches. But before the competition can even begin, a couple of Kyoto students confront Fushiguro and Kugisaki. Meanwhile, Yuji’s training gets interrupted by a mysterious crime involving grotesque bodily alterations caused by a cursed spirit...","","8.66","Fantasy","4.45","07/18/2025","","","","","","","","Jujutsu Kaisen"
"Kaguya-sama: Love Is War, Vol. 1","Akasaka, Aka","VIZ Media LLC","2018-03-06","Paperback","215","かぐや様は告らせたい ～天才たちの恋愛頭脳戦～[Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen]","1","eng","9781974700301","","https://www.goodreads.com/book/show/36100762-kaguya-sama","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1715721936l/36100762._SX98_.jpg","All’s fair when love is war!

Two prideful geniuses locked in battle. Who will make the first misstep and in doing so…confess their love?

Kaguya Shinomiya and Miyuki Shirogane are two geniuses who stand atop their prestigious academy’s student council, making them the elite among elite. But it’s lonely at the top and each has fallen for the other. There’s just one huge problem standing in the way of lovey-dovey bliss—they’re both too prideful to be the first to confess their romantic feelings and thus become the “loser” in the competition of love! And so begins their daily schemes to force the other to confess first!","","","Manga","4.17","07/18/2025","","","","","","","","Kaguya-sama Love is War"
"Komi Can't Communicate, Vol. 1","Oda, Tomohito","VIZ Media LLC","2022-12-13","Paperback","193","古見さんは、コミュ症です。 [Komi-san wa, Komyushō Desu.]","1","eng","9781974707126","","https://www.goodreads.com/book/show/42870330-komi-can-t-communicate-vol-1","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549012356l/42870330._SX98_.jpg","Timid Tadano is a total wallflower, and that’s just the way he likes it. But all that changes when he finds himself alone in a classroom on the first day of high school with the legendary Komi. He quickly realizes she isn’t aloof—she’s just super awkward. Now he’s made it his mission to help her on her quest to make 100 friends!","","","Manga","4.12","07/18/2025","","","","","","","","Komi Can't Communicate"
"Komi Can't Communicate, Vol. 2 (2)","Oda, Tomohito","VIZ Media LLC","2019-08-13","Paperback","192","古見さんは、コミュ症です。 [Komi-san wa, Komyushō Desu.]","2","English","9781974707133","","https://www.amazon.com/dp/197470713X?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51fCEU23FYL._SL500_.jpg","The journey to 100 friends begins with a single conversation.

Socially anxious high school student Shoko Komi’s greatest dream is to make some friends, but everyone at school mistakes her crippling social anxiety for cool reserve! With the whole student body keeping their distance and Komi unable to utter a single word, friendship might be forever beyond her reach.

It’s time for the national health exam at Itan High, and the excitement of eye exams and height measurements have fanned the flames of competition for the unremarkable Makeru Yadano. She’s determined to beat the class idol Komi in the health test, and Komi’s total obliviousness to their impassioned duel just feeds Makeru’s determination. As the epic battle heats up, how will Komi handle her first rival when she’s barely made her first friends?!","","6.99","Manga","4.22","07/18/2025","","","","","","","","Komi Can't Communicate"
"Komi Can't Communicate, Vol. 3 (3)","Oda, Tomohito","VIZ Media LLC","2019-10-08","Paperback","180","古見さんは、コミュ症です。 [Komi-san wa, Komyushō Desu.]","3","English","9781974707140","","https://www.amazon.com/dp/1974707148?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51mLLpjY-ML._SL500_.jpg","The journey to 100 friends begins with a single conversation.

Socially anxious high school student Shoko Komi’s greatest dream is to make some friends, but everyone at school mistakes her crippling social anxiety for cool reserve. With the whole student body keeping its distance and Komi unable to utter a single word, friendship might be forever beyond her reach.

Summer is about to begin, and Komi would love to be able to spend the long, hot days of vacation hanging out with her new friends. But even though she’s made great strides in her personal quest, her communication issues are still strong enough to ruin her fun. Thankfully just thinking of her dear friend Tadano is enough to help her calm down!","","7.98","Manga","4.32","07/18/2025","","","","","","","","Komi Can't Communicate"
"Komi Can't Communicate, Vol. 4 (4)","Oda, Tomohito","VIZ Media LLC","2019-12-10","Paperback","188","古見さんは、コミュ症です。 [Komi-san wa, Komyushō Desu.]","4","English","9781974707157","","https://www.amazon.com/dp/1974707156?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/519kAU8fzeL._SL500_.jpg","The journey to 100 friends begins with a single conversation.

Socially anxious high school student Shoko Komi’s greatest dream is to make some friends, but everyone at school mistakes her crippling social anxiety for cool reserve. With the whole student body keeping its distance and Komi unable to utter a single word, friendship might be forever beyond her reach.

School is out for the summer, and Komi is still getting used to this strange new world of having friends. She’s discovering that friendship doesn’t automatically save you from awkward situations with people, but the more time she spends with her friends, the easier it all seems. And to her astonishment, for the first time in her life Komi isn’t anxious for summer to end.","","8.49","Manga","4.28","07/18/2025","","","","","","","","Komi Can't Communicate"
"Kusunoki's Flunking Her High School Glow-Up 1","Mii, Mitsuki; , みいみつき","Kodansha Comics","2024-08-20","Paperback","192","楠木さんは高校デビューに失敗している [Kusunoki-san wa Koukou Debut ni Shippaishiteiru]","","English","9798888772713","","https://www.amazon.com/dp/B0CP726VDT?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51TArvMdXNL._SL500_.jpg","Two ex-ugly ducklings struggle towards swandom in this cute and funny rom-com manga from the editorial team that brought you Life Lessons With Uramichi Oniisan. Two strivers debut their ""new yous,"" but will their dread--or feelings for each other--drag them back down?! Perfect for fans of Kubo Won't Let Me Be Invisible and True Beauty.

Keisuke Shizuki might have been an outcast in middle school, but not anymore. The trauma of being rejected by his first crush left Shizuki with a phobia of pretty girls and the drive to remake himself and start high school fresh: new looks, new friends, new confidence. That is, as long as he avoids the cuties and anyone who knows anything about his past. Unfortunately for him, the prettiest girl at his new school just happens to be his former middle school classmate and another ex-outcast, Shizuka Kusunoki. Unlike Shizuki, Kusunoki still lacks the social skills to make the most of her new appearance--and she wants Shizuki's help. But helping Kusunoki will mean spending a lot of time around a beauty, and drawing some not-so-welcome attention...","","11.07","Manga","3.80","07/18/2025","","","","","","","","Kusunoki's Flunking her high school Glow-up"
"Let's Do It Already!, Vol. 1 (1)","Kusaka, Aki","VIZ Media LLC","2024-06-04","Paperback","192","はやくしたいふたり [Hayaku Shitai Futari]","1","English","9781974746903","","https://www.amazon.com/dp/1974746909?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51b+1xjLnyL._SL500_.jpg","Free-spirited Yuri Hasegawa and straitlaced Keiichiro Katsuragi have fallen in love. But his elite political family—producing a line of prime ministers—does not allow male descendants to engage in any sexual relations until they are 18. Can the physically affectionate Yuri and rule-abiding Keiichiro keep their relationship strictly chaste?

Yuri and Keiichiro have gotten to know each other on their daily commute to their respective high schools. Yuri makes a passionate love confession to Keiichiro, and he feels the same! Yuri rushes in to kiss her new boyfriend, but…!","","9.1","Shojo","3.85","07/18/2025","","","","","","","","Let's Do It Already"
"Manga Classics: The Count of Monte Cristo","Chan, Crystal S.; Dumas, Alexandre; Poon, Nokman; King, Stacy","UDON Entertainment","2017-04-01","Paperback","404","Manga Classics","","English","9781927925614","","https://www.amazon.com/dp/1927925614?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51Rms9u4XqL._SL500_.jpg","A Conspiracy and a miscarriage of justice turn the gentle Edmond Dantès into an implacable agent of fate: The Count of Monte Cristo . Obsessed by vengeance and empowered by providence, the Count avenges himself on whose who have wronged him - but is this justice, or is this hubris? In the end, does even the Count know?

Alexandre Dumas' skillful narrative combines intrigue, betrayal, and triumphant revenge into a powerful conflict between good and evil. Now this exciting saga, rich and diverse, takes on an entirely new life in this Manga Classics adaptation!","","20.99","Children's Books","4.24","07/19/2025","","","","","","","","One Shots"
"Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 10","Magonote, Rifujin na; , Shirotaka","Airship","2021-04-20","Paperback","320","無職転生: 異世界行ったら本気だす [Mushoku Tensei: Isekai Ittara Honki Dasu]","10","English","9781648270871","","https://www.amazon.com/dp/1648270875?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51TIxnEM0bL._SL500_.jpg","WEDDED BLISS—OR BANE?!

A new chapter of Rudeus’ life beckons as he throws himself into his research, house-hunting, and planning a wedding. But then an unexpected letter, bearing shocking news, arrives to interrupt the young couple’s domestic dreams. It seems the past still isn’t done with Rudeus, and neither is a certain mysterious white-masked girl!","","13.99","TV, Movie, Video Game Adaptations","4.28","06/26/2025","","","","","","","","Mushoku Tensei"
"Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 11","Magonote, Rifujin na; , Shirotaka","Airship","2021-06-15","Paperback","320","無職転生: 異世界行ったら本気だす [Mushoku Tensei: Isekai Ittara Honki Dasu]","11","English","9781648272226","","https://www.amazon.com/dp/1648272223?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/519ST+mRKBL._SL500_.jpg","LITTLE SISTERS MAKE BIG PROBLEMS!

Rudeus has adventured across continents and survived run-ins with gods—and none of it has prepared him to watch Aisha and Norn when Paul leaves them temporarily in his care. Can he rise to the occasion yet again, or will parenting two preteen girls be the ordeal that ultimately defeats him?!","","13.89","TV, Movie, Video Game Adaptations","4.34","06/26/2025","","","","","","","","Mushoku Tensei"
"Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 12","Magonote, Rifujin na; , Shirotaka","Airship","2021-08-17","Paperback","372","無職転生: 異世界行ったら本気だす [Mushoku Tensei: Isekai Ittara Honki Dasu]","12","English","9781648272608","","https://www.amazon.com/dp/1648272606?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51sSM+9gZFL._SL500_.jpg","Death is only the beginning in this epic and influential fantasy light novel series that spawned a manga adaptation (and a manga spin-off: Mushoku Tensei: Roxy Gets Serious), all available from Seven Seas. And don't miss the new anime! 

Kicked out by his family and wandering the streets, an unemployed 34-year-old shut-in thinks he's hit rock-bottom--just as he's hit and killed by a speeding truck! Awakening to find himself reborn as an infant in a world of swords and sorcery, but with the memories of his first life intact, Rudeus Greyrat is determined not to repeat his past mistakes. He's going to make the most of this reincarnation as he sets off on the adventure of a second lifetime!","","15.99","TV, Movie, Video Game Adaptations","4.59","06/26/2025","","","","","","","","Mushoku Tensei"
